Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121201,38.00,AB,0.00,I,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121202,45.00,14,59.00,C,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121203,47.00,22,69.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121204,50.00,20,70.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121205,51.00,16,67.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121206,52.00,18,70.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121207,44.00,18,62.00,C,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121208,50.00,17,67.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121209,55.00,16,71.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121211,58.00,23,81.00,S,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121212,57.00,26,83.00,S,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121213,58.00,25,83.00,S,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121214,49.00,19,68.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121216,53.00,17,70.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121217,54.00,20,74.00,A,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121218,52.00,18,70.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121219,58.00,22,80.00,S,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121220,53.00,22,75.00,A,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121221,52.00,16,68.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121222,41.00,16,57.00,D,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121223,51.00,15,66.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121225,51.00,16,67.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121226,54.00,17,71.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121227,53.00,24,77.00,A,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121228,52.00,15,67.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121229,55.00,16,71.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121230,55.00,19,74.00,A,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121231,52.00,17,69.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121232,49.00,19,68.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121233,57.00,20,77.00,A,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121234,46.00,21,67.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121235,44.00,16,60.00,C,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121236,41.00,13,54.00,D,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121237,56.00,21,77.00,A,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121238,53.00,15,68.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121239,53.00,19,72.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121240,49.00,13,62.00,C,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121241,50.00,11,61.00,C,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
20121242,51.00,16,67.00,B,NOV_DEC,2012,NORMAL,MGT108,2.0,MANAGERIAL SKILLS LAB,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV_DEC_2012,1,0,1,0,61
