Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140115,41.33,24,66.00,C,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140655,35.18,10.5,46.00,D,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140619,38.50,28.5,67.00,B,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140127,44.53,26,71.00,B,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140163,48.31,40.5,89.00,S,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140139,28.99,17,46.00,D,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140547,39.78,30,70.00,B,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140607,34.41,10.5,45.00,E,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140211,31.73,24,56.00,D,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140451,26.46,8.5,35.00,E,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
20140331,47.73,43,91.00,S,MAY_JUNE,2015,NORMAL,COB205,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2015,3,0,18,0,283
