Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110504,22.60,14.25,37.00,E,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20120161,19.10,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20120593,19.98,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011073,11.15,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014049,8.80,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014078,13.45,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018026,8.85,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018048,18.05,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018058,2.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201028023,6.90,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011079,9.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011110,39.65,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012030,2.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013025,9.10,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013056,12.15,16.75,29.00,F,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201015020,0.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200914010,14.10,20.5,35.00,E,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200914061,15.25,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200714018,13.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA203_COB103,4.0,ENGINEERING CHEMISTRY,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
