Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200911019,14.90,7.5,23.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200913072,26.00,12,38.00,E,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201015063,12.65,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201012011,23.10,10,34.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201018008,17.80,25.5,44.00,E,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110048,12.50,20.5,33.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110164,14.20,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110370,18.20,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110153,19.80,07,27.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110616,18.00,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120259,18.12,16,35.00,E,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120094,20.32,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120183,20.15,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120244,18.85,18,37.00,E,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120314,14.20,17.5,32.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120319,15.60,16.5,32.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120326,22.70,9.5,33.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120370,13.40,19.5,33.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20121103,17.50,12,30.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120123,11.32,AB,0.00,I,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20130192,18.40,14.50,33.00,F,MAY_JUNE,2014,BACK,COA204_COB104_NEW_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,84.000000,74.000000,65.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
