Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600016,19.40,17.5,37.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600057,30.00,12.5,43.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600067,17.55,09,27.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600074,10.30,AB,0.00,I,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600082,17.05,18.5,36.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600108,18.95,24,43.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600134,15.30,1.5,17.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600136,14.05,12.5,27.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600145,18.50,AB,0.00,I,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600148,7.25,AB,0.00,I,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600154,14.55,30.5,46.00,D,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600158,15.25,08,24.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600171,18.05,24.5,43.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600183,9.95,AB,0.00,I,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600189,16.40,04,21.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600202,21.20,22,44.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600210,11.60,07,19.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600254,19.10,23.5,43.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600269,13.00,8.5,22.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600294,14.65,12,27.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600300,15.00,26.5,42.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600313,17.80,20.5,39.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600328,12.75,13,26.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600420,14.65,21,36.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600435,20.50,36.75,58.00,C,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600441,17.75,08,26.00,F,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600455,19.95,16.75,37.00,E,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201600461,31.55,33.25,65.00,B,JUNE_JULY,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
