Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201021403,23.40,17.5,41.00,E,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121402,30.80,26,57.00,D,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121404,23.70,10.5,35.00,F,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121405,24.60,17,42.00,E,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121406,27.20,28,56.00,D,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121407,24.90,5.5,31.00,F,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121408,24.70,27.5,53.00,D,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121409,20.90,32,53.00,D,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121412,34.20,44,79.00,B,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121415,39.30,40,80.00,A,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121416,31.60,43,75.00,B,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121418,22.60,27,50.00,D,APRIL_MAY_APR,2013,NORMAL,MMT403,4.0,STOCHASTIC PROCESS,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
