Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20122417,15.66,33.5,50.00,D,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20122430,36.62,26.5,64.00,B,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20122433,35.62,19,55.00,C,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20122444,15.21,30.5,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20122448,32.72,33.5,67.00,B,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20122452,8.30,35,44.00,D,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20122454,38.72,30,69.00,B,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201119001,12.05,36.5,49.00,D,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201419001,17.91,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201419004,16.61,13,30.00,F,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201419014,20.31,4.5,25.00,F,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201419017,15.31,20.5,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201419023,24.61,21.5,47.00,D,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201419027,18.61,27,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
