Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110249,49.25,48,98.00,S,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110313,42.80,36.5,80.00,A,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110576,20.00,37.5,58.00,C,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120151,18.10,27,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120167,14.90,42,57.00,C,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120170,13.10,37.5,51.00,D,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120233,6.60,19,26.00,F,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120241,16.60,48,65.00,C,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120312,15.82,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120322,10.70,33,44.00,E,JULY_AUGUST_AUG,2015,EXTRA,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
