Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200912060,18.85,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912078,18.80,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912085,17.00,0.5,18.00,F,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912098,12.20,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012008,11.90,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012022,21.10,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012056,20.60,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012081,18.70,19,38.00,E,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012088,12.70,AB,0.00,I,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012097,19.70,28,48.00,D,JAN_DEC,2012,MAKE,EC503,4.0,ANALOG COMMUNICATION,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
