Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130592,0.00,DT,0.00,DT,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
20140002,20.65,23.5,45.00,E,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
20140122,23.80,21,45.00,E,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
20140615,23.35,25,49.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
20140685,28.60,23,52.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500002,36.70,36.5,74.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500005,39.85,34.5,75.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500021,28.10,31.5,60.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500024,37.00,39.5,77.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500042,23.00,3.5,27.00,F,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500053,41.00,47,88.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500063,24.25,34,59.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500068,18.30,39.5,58.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500074,33.05,39,73.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500088,39.10,45.5,85.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500101,41.65,32.5,75.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500104,25.30,33,59.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500116,32.35,37.5,70.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500125,42.25,46.5,89.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500128,27.60,31.5,60.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500158,35.05,48,84.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500159,30.25,21.5,52.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500192,28.40,25,54.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500197,26.05,36,63.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500206,22.45,27,50.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500215,39.50,43.5,83.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500217,37.50,42,80.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500222,40.45,47,88.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500227,31.95,33,65.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500240,40.75,45,86.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500276,22.20,39.5,62.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500279,32.30,28.5,61.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500303,37.05,40,78.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500309,37.60,42,80.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500317,35.20,38.5,74.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500318,25.00,42,67.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500319,24.30,27,52.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500336,44.50,44.5,89.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500355,34.30,40,75.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500386,41.60,40,82.00,A,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500414,28.80,44.5,74.00,B,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500416,26.20,32,59.00,C,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
201500423,20.90,29,50.00,D,NOV_DEC,2017,NORMAL,IT,4.0,OBJECT ORIENTED PROGRAMMING _IT1506_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV_DEC_2017,0,0,2,0,56
