Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201021403,18.30,13.5,32.00,F,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121402,30.90,29,60.00,C,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121404,31.10,31,63.00,C,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121405,30.10,16,47.00,E,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121406,35.10,40,76.00,B,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121407,26.70,37,64.00,C,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121408,30.50,28.5,59.00,D,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121409,32.20,31,64.00,C,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121412,42.10,40,83.00,A,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121415,39.50,41.5,81.00,A,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121416,36.30,36.5,73.00,B,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121418,35.90,33.5,70.00,B,NOV_DEC,2012,NORMAL,MMT305,4.0,COMPUTATIONAL FLUID DYNAMICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
