Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140234,54.26,12,67.00,C,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
20140465,57.65,16,74.00,B,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
20140736,58.66,12,71.00,B,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201415508,0.00,DT,0.00,DT,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201500182,62.05,17,80.00,A,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201500263,57.99,16,74.00,B,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201500427,50.86,15,66.00,C,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201500443,42.73,8,51.00,E,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201500589,61.38,16,78.00,B,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
201615501,59.00,16,75.00,B,JAN,2019,SUPP,ME1761,1.5,MACHINE DYNAMICS LAB,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,JAN-2019,0,0,0,0,0
