Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201321209,47.18,9,57.00,D,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521201,58.13,11,70.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521202,59.37,17,77.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521203,59.42,10,70.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521204,59.45,12,72.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521206,63.53,11.5,76.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521207,58.68,8,67.00,C,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521208,59.12,8.5,68.00,C,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521209,53.92,8,62.00,C,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521210,54.70,13,68.00,C,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521212,65.78,15.5,82.00,A,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521213,63.88,14,78.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521214,53.78,9,63.00,C,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521216,39.73,6,46.00,E,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521217,42.98,6.5,50.00,D,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521218,68.13,14.5,83.00,A,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521219,59.75,13,73.00,B,MAY_JUNE,2017,NORMAL,PH2461,4.0,COMPUTATIONAL PHYSICS LABORATORY,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
