Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201419011,16.05,19.25,36.00,E,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201519005,4.30,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201519040,9.10,0.5,10.00,F,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719002,12.80,15,28.00,F,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719004,24.55,22.5,48.00,D,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719008,11.20,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719009,14.20,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719015,11.30,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719019,14.55,9.5,25.00,F,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719036,10.00,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719040,17.40,27.5,45.00,D,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201719012,23.80,31,55.00,C,JANUARY_JAN,2018,SUPP,BA1103,4.0,QUANTITATIVE ANALYSIS _13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
