Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200614021,19.30,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200713012,19.30,18,38.00,E,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200715052,12.80,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200711001,20.40,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200811003,14.80,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200811004,16.50,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200814006,19.10,27,47.00,D,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200928004,11.90,16.5,29.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200911111,18.20,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200914062,10.70,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200914068,17.40,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201011022,17.70,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201012054,12.00,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201014016,14.30,17,32.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201014056,15.20,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201015008,16.60,19.75,37.00,E,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201015032,20.50,8.5,29.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201015063,16.35,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201018037,15.00,4.5,20.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201013079,13.40,08,22.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201014017,22.50,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201014027,14.40,17.5,32.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201014080,16.00,11,27.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201015039,15.30,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201015051,19.80,01,21.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201018002,15.20,20.5,36.00,E,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
20110354,9.50,12.5,22.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
20110435,19.90,02,22.00,F,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
20110025,8.80,AB,0.00,I,NOV_DEC,2012,BACK,COA101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
