Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120243,10.20,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130025,12.20,30,43.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130144,12.60,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130457,18.50,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130736,16.90,22.5,40.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201415502,21.20,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130507,15.00,29,44.00,D,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140517,8.60,26,35.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140592,12.65,27.5,41.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140608,7.90,34.5,43.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140742,12.70,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140752,13.50,23,37.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201515504,13.70,09,23.00,F,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201515506,14.25,23.5,38.00,E,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130070,12.00,05,17.00,F,JANUARY_JAN,2018,SUPP,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
