Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130305,35.43,10,46.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
20130335,36.98,9,46.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
20130437,35.29,10,46.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
20140184,36.27,10,47.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
20140515,43.85,10,54.00,D,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500242,35.56,10,46.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500265,35.24,10,46.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500354,44.78,9,54.00,D,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500366,41.73,7,49.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500371,45.22,5,51.00,D,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500374,46.31,4,51.00,D,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500393,38.35,11,50.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500412,48.68,8,57.00,D,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500449,36.33,10,47.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500733,47.73,7,55.00,D,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
201500739,43.61,6,50.00,E,JAN,2019,SUPP,CS1762,1.5,COMPILER DESIGN LAB,81.000000,74.000000,66.000000,59.000000,51.000000,44.000000,JAN-2019,0,0,0,0,0
