Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120180,10.00,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20120182,11.70,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20120360,13.10,09,23.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20121101,13.10,01,15.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130010,3.90,05,9.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130397,8.50,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130696,19.50,5.5,25.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140004,27.10,07,35.00,E,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140021,23.90,01,25.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140131,18.30,19,38.00,E,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140157,20.60,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140170,35.70,41.5,78.00,A,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140226,17.20,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140504,17.20,08,26.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140581,20.40,00,21.00,F,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20140684,19.90,17.5,38.00,E,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201412506,12.35,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201512505,15.20,AB,0.00,I,JAN,2017,SUPP,EC1505,4.0,DIGITAL SIGNAL PROCESSING,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
