Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201716001,42.35,46,89.00,S,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716002,30.10,4,35.00,E,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716003,40.40,46,87.00,S,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716004,45.20,43.5,89.00,S,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716005,26.70,21.5,49.00,D,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716006,35.00,30.5,66.00,B,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716007,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716008,17.90,11.5,30.00,F,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716009,17.60,2,20.00,F,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716010,26.55,12.5,40.00,E,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716011,27.40,16.5,44.00,E,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
201716012,26.15,10,37.00,E,APRIL_MAY_APR,2018,NORMAL,CA1202,4.0,C PROGRAMMING II,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2018,1,0,4,0,28
