Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140189,21.35,6.5,28.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500412,20.48,10,31.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140002,17.85,10.75,29.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140036,17.55,2.5,21.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140071,20.45,10.5,31.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140098,24.80,10,35.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140114,14.00,4.5,19.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140117,20.90,20.5,42.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140130,23.40,11.25,35.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140131,22.70,5,28.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140139,16.70,AB,0.00,I,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140142,14.50,AB,0.00,I,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140145,21.08,14.25,36.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140153,17.15,AB,0.00,I,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140176,16.20,2.75,19.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140252,21.25,13.25,35.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140450,15.70,4,20.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140453,16.95,13.75,31.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140463,11.00,10.5,22.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140465,21.30,6.5,28.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140466,25.65,AB,0.00,I,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140509,20.05,14.75,35.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140515,20.45,2.25,23.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140527,22.15,12,35.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140546,16.25,7.25,24.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140547,22.85,19.25,43.00,E,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140552,14.10,0.5,15.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140556,11.60,7,19.00,F,JULY_AUG,2016,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
