Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110174,17.70,12.5,31.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110175,19.20,11.75,31.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110578,17.80,17.5,36.00,E,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120219,18.20,14.75,33.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120357,5.50,AB,0.00,I,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120370,13.20,03,17.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120392,15.90,18.5,35.00,E,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120593,15.15,7.5,23.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120666,16.55,2.5,20.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120670,15.70,13,29.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120709,16.50,07,24.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201311501,13.85,15.5,30.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201311505,12.10,01,14.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201311506,18.15,11.5,30.00,F,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201311508,16.30,23.5,40.00,E,JAN,2014,MAKE,CSE303,4.0,PROGRAMMING WITH C++,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
