Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121521,36.25,41.5,78.00,B,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121524,35.55,36.5,73.00,B,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121527,41.95,43.5,86.00,A,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326001,33.30,34.5,68.00,C,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326002,32.40,35.5,68.00,C,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326003,30.10,37.5,68.00,C,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326004,35.70,42,78.00,B,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326005,28.55,42.5,72.00,B,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326006,33.45,39.5,73.00,B,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326007,31.75,32.5,65.00,C,NOV_DEC,2013,NORMAL,MDC105,4.0,INFORMATION COMMUNICATION TECHNOLOGY _ELECTIVE II_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
