Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200712117,44.64,25,70.00,B,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
200912022,31.20,20,52.00,D,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
200912043,41.40,30.4,72.00,A,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
200912046,44.04,31.2,76.00,A,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
200912074,42.84,29.87,73.00,A,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012008,35.76,27,63.00,C,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012050,31.56,20,52.00,D,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012075,37.08,25.6,63.00,C,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012085,36.06,26.13,63.00,C,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012088,34.92,25.2,61.00,C,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012089,36.24,24.53,61.00,C,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
201012091,35.88,26.13,63.00,C,MAY_JUNE,2014,BACK,EC709,4.0,SEMINAR_MINI PROJECT_IND.TOUR,80.000000,72.000000,65.000000,57.000000,50.000000,43.000000,MAY_JUNE_2014,0,0,0,0,0
