Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121103,16.65,6.5,24.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130485,19.35,AB,0.00,I,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130567,14.10,10.5,25.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130507,15.50,07,23.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130176,12.70,05,18.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130596,16.80,14,31.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130513,15.00,3.75,19.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140081,17.45,AB,0.00,I,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140180,14.50,00,15.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140378,13.20,AB,0.00,I,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140418,14.40,AB,0.00,I,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140603,20.35,10.5,31.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140736,16.40,2.5,19.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201500206,14.75,07,22.00,F,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201500019,10.40,AB,0.00,I,NOV_DEC,2016,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
