Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201014006,19.65,AB,0.00,I,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
201114501,16.20,10,27.00,F,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
200814004,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
201014040,21.50,10,32.00,F,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110004,32.90,40.75,74.00,A,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110172,25.65,29,55.00,C,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110350,32.00,34.5,67.00,B,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110372,34.75,39.5,75.00,A,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110385,22.50,15.5,38.00,E,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110398,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110399,39.80,45,85.00,S,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110401,29.65,31.75,62.00,B,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110404,32.30,29.5,62.00,B,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
20110411,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,IT602,4.0,COMPUTER NETWORK,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,2,0,3,0,40
