Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201500162,29.20,16.5,46.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500101,31.85,21,53.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500649,32.05,AB,0.00,I,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500342,37.05,33.75,71.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500067,33.40,26.5,60.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500266,35.45,32.25,68.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500057,38.75,33.25,72.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500403,27.55,24.25,52.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500256,30.70,30,61.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500290,31.70,27.25,59.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500022,32.85,36,69.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500413,22.55,20.25,43.00,E,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500182,20.25,10.25,31.00,F,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500193,23.50,23.5,47.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500301,24.65,22.75,48.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500121,28.30,26.5,55.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500142,34.65,28.75,64.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500047,32.60,28,61.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500090,37.75,38.25,76.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500246,41.70,38.5,81.00,S,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500321,22.40,25.5,48.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500152,26.35,23,50.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500204,39.60,37.75,78.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500001,31.60,28.5,61.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500111,28.30,16.5,45.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500365,27.35,30.25,58.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500280,33.80,30.75,65.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500215,27.40,32.75,61.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500079,36.20,34.25,71.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500036,39.00,36.25,76.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500703,21.40,22.75,45.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500172,34.80,30.75,66.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500235,36.00,41.5,78.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500225,27.45,32,60.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500354,24.40,33.75,59.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500377,24.45,25.5,50.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500793,11.90,MP,00.00,MP,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500389,18.85,27,46.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500311,13.70,22.5,37.00,E,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500419,23.95,35.5,60.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500423,24.95,22,47.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500770,13.80,20.75,35.00,E,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500429,38.90,32.75,72.00,A,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500143,20.10,26,47.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500133,20.20,24,45.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500123,30.70,30.75,62.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500486,24.70,29.25,54.00,C,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500206,13.00,27,40.00,E,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500247,12.40,12.75,26.00,F,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500312,30.00,33.5,64.00,B,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
201500216,27.70,24.25,52.00,D,NOV_DEC,2015,NORMAL,COA106,3.0,COMMUNICATION SKILLS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,1,0,12,0,193
