Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200716010,20.30,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200816034,20.60,14,35.00,E,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200816049,20.10,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200816019,9.00,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200916028,3.30,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
200916032,4.20,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016004,13.30,18,32.00,F,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016014,21.80,07,29.00,F,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016018,24.80,06,31.00,F,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016031,5.30,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016034,25.00,9.5,35.00,E,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016037,19.80,AB,0.00,I,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016042,21.70,4.5,27.00,F,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
201016045,19.00,20,39.00,E,NOV_DEC,2012,BACK,BCA301,4.0,MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,0
