Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600001,28.96,17.25,47.00,D,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600013,27.92,15,43.00,E,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600024,33.96,12.5,47.00,D,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600035,39.17,12.5,52.00,D,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600045,0.00,DT,0.00,DT,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600056,42.29,18.75,62.00,B,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600057,32.29,16.25,49.00,D,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600068,29.17,33.75,63.00,B,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600081,32.08,35,68.00,B,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600094,36.25,18.75,55.00,C,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600108,23.96,17.5,42.00,E,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
201600118,0.00,DT,0.00,DT,MAY_JUNE,2017,NORMAL,COA207,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS LAB II _BA1261_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,3,0,29,0,399
