Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201011040,17.90,00,18.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201014077,20.85,1.5,23.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
200812133,10.40,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201028018,20.75,08,29.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110236,14.80,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110337,18.75,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110539,43.80,26.25,71.00,A,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110580,17.05,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110452,20.48,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120092,5.75,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120094,18.80,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120247,21.55,17.5,40.00,E,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120334,18.30,20.5,39.00,E,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120369,12.73,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120455,18.35,2.25,21.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120539,20.48,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120682,10.49,04,15.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130628,32.69,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130004,14.54,01,16.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130016,17.53,17.25,35.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130037,15.75,AB,0.00,I,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130038,30.15,17.75,48.00,D,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130061,23.29,15,39.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130063,24.33,17.25,42.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130065,21.01,13.25,35.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130066,19.80,11,31.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130074,20.18,07,28.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130077,30.73,17.25,48.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130109,27.90,31.25,60.00,C,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130124,17.84,3.5,22.00,F,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130135,32.14,31,64.00,B,JAN,2014,MAKE,COA103_COB203,4.0,ENGINEERING PHYSICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
