Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120135,20.40,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012082,16.30,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013052,12.75,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014049,5.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014078,12.15,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018026,4.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018037,18.40,32.5,51.00,D,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018048,16.40,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201028023,7.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201028027,16.10,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011043,14.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011047,18.00,14,32.00,F,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011079,4.90,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011110,34.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB204_COA104_NEW__COA204_COB104_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
