Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200913053,27.00,18,45.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200913058,27.00,18,45.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201013019,30.00,20,50.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201013021,31.20,20.8,52.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201013057,30.00,20,50.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201013058,30.00,20,50.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201013083,33.00,22,55.00,C,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201028002,38.40,25.6,65.00,B,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201113504,30.00,20,50.00,D,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201113508,24.00,16,40.00,E,MAY_JUNE,2014,BACK,EE709,1.5,MINI PROJECT,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
