Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600018,39.50,42,82.00,A,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600029,26.06,11.5,38.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600040,33.28,29,63.00,C,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600052,48.75,49,98.00,S,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600063,49.15,34.5,84.00,A,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600074,12.01,00,13.00,F,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600087,31.94,11,43.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600102,44.05,27,72.00,B,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600123,37.62,7,45.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600134,31.98,MP,00.00,MP,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600145,32.74,9.5,43.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600156,35.27,9,45.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600167,47.02,44,92.00,S,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600177,27.78,8.5,37.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600197,37.83,13,51.00,D,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600210,38.56,18.5,58.00,C,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600232,42.37,48.5,91.00,S,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600235,45.35,36.5,82.00,A,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600255,39.07,31.5,71.00,B,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600266,35.60,26.5,63.00,C,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600276,42.50,33.5,76.00,B,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600286,48.55,40.5,90.00,S,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600294,28.71,15.5,45.00,E,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600297,42.60,26,69.00,B,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
201600307,48.80,40,89.00,S,MAY_JUNE,2017,NORMAL,ME1105,3.0,ENGINEERING GRAPHICS _ME1105_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,MAY_JUNE_2017,3,0,18,0,215
