Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201516004,14.80,20,35.00,E,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201516017,16.85,AB,0.00,I,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201516026,10.70,0,11.00,F,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20121925,18.30,16,35.00,E,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201316014,9.50,25,35.00,E,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201316020,28.90,19.5,49.00,D,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201316022,10.50,15,26.00,F,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201316023,23.15,12,36.00,E,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201316021,28.20,23,52.00,D,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201316005,22.50,24,47.00,D,JULY_AUG,2016,EXTRA,CA1202,4.0,C PROGRAMMING II _10 11 12 13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
