Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120031,17.90,17,35.00,E,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120136,16.60,AB,0.00,I,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120270,13.20,13.5,27.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120283,10.00,3.5,14.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120455,23.70,13.5,38.00,E,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120478,21.50,21,43.00,E,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120553,23.00,08,31.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120587,17.40,AB,0.00,I,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20121101,14.80,6.5,22.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130010,11.20,1.5,13.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130070,11.20,AB,0.00,I,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130161,22.70,20,43.00,E,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130401,9.40,27,37.00,E,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130493,12.60,AB,0.00,I,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130579,16.00,0.5,17.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130696,11.30,0.5,12.00,F,JAN,2017,SUPP,MA1303_EC301_EE301_ME301__12,4.0,ENGINEERING MATHEMATICS III _REF CODE:EC1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
