Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201019002,39.90,29,69.00,C,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019003,26.15,21,48.00,E,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019011,31.90,34,66.00,C,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019012,25.90,24.5,51.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019013,18.10,25,44.00,E,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019014,27.50,28,56.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019015,24.85,26.5,52.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019026,21.20,16,38.00,F,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019030,25.60,24.5,51.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019031,22.70,31,54.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019032,24.85,31,56.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019034,28.10,29.5,58.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019039,29.40,30,60.00,C,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019040,25.80,31,57.00,D,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019041,17.00,17.5,35.00,F,NOV_DEC,2012,NORMAL,BBA_HR_503,3.0,WAGE & SALARY ADMINISTRATION,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
