Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600074,10.30,7,18.00,F,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600087,16.75,AB,0.00,I,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600134,15.30,AB,0.00,I,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600161,20.00,22.5,43.00,E,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600170,16.75,24,41.00,E,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600171,18.05,9,28.00,F,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600199,12.35,1,14.00,F,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600210,11.60,9,21.00,F,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600300,15.00,9,24.00,F,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600306,35.60,33,69.00,B,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600321,16.90,18.5,36.00,E,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600428,17.55,20,38.00,E,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600526,17.40,12,30.00,F,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600579,32.25,40.5,73.00,B,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201600620,15.60,22.5,39.00,E,JAN,2017,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COB103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
