Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130192,9.20,AB,0.00,I,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20130431,10.60,3.5,15.00,F,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20130576,13.60,6.5,21.00,F,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20130647,23.80,35,59.00,C,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140031,36.90,29,66.00,B,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140033,31.90,42,74.00,B,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140061,47.60,35.5,84.00,A,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140062,46.40,39.5,86.00,S,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140079,49.70,41,91.00,S,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140082,7.00,25,32.00,F,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140092,33.10,36.5,70.00,B,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140105,48.50,48.5,97.00,S,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140132,28.90,18.5,48.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140136,31.00,10.5,42.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140137,27.20,27.5,55.00,C,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140172,31.40,24,56.00,C,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140183,24.60,22,47.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140199,38.60,37,76.00,A,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140217,25.30,22.5,48.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140231,27.30,20,48.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140235,40.50,27.5,68.00,B,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140241,28.50,14.5,43.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140244,26.10,18,45.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140315,42.00,40,82.00,A,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140321,46.90,45.5,93.00,S,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140325,27.60,18.5,47.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140339,39.20,37,77.00,A,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140353,48.80,49,98.00,S,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140375,16.30,19.5,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140376,42.10,44,87.00,S,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140387,29.50,23.5,53.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140400,39.70,31.5,72.00,B,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140436,21.80,17,39.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140471,35.50,35.5,71.00,B,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140499,32.60,26.5,60.00,C,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140501,12.30,12.5,25.00,F,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140597,23.30,16.5,40.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140620,35.40,AB,0.00,I,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140628,23.00,12.5,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140637,20.70,10,31.00,F,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140639,30.90,16.5,48.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140649,22.60,13,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140671,26.30,9,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140680,28.30,7,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140682,30.30,22.5,53.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140689,30.20,34,65.00,C,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20140698,21.80,24.5,47.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
201513501,19.50,17,37.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
201513503,27.60,16.5,45.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
201513505,0.00,DT,0.00,DT,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
201513506,21.50,23.5,45.00,D,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
201513507,22.30,17.5,40.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
20130184,21.30,14.5,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
201313504,20.00,15.5,36.00,E,NOV_DEC,2015,NORMAL,EE1305,4.0,DIGITAL ELECTRONICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2015,2,0,1,0,51
