Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200812133,34.50,31,66.00,C,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
200912046,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
200912077,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
201012010,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
20110003,45.00,34,79.00,B,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
20110006,40.00,30,70.00,C,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
20110007,34.50,26,61.00,D,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
20110009,47.50,33,81.00,B,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
20110012,52.50,34,87.00,A,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
20110016,41.50,30,72.00,C,APRIL_MAY_APR,2013,NORMAL,EC408,1.5,MICROPROCESSOR LABORATORY,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2013,0,0,6,0,131
