Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121541,37.75,36,74.00,B,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121542,33.30,32.5,66.00,C,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121543,35.60,15,51.00,D,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121544,22.75,16,39.00,F,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121547,37.55,25,63.00,C,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121548,43.65,48.5,93.00,S,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121550,30.95,23,54.00,D,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121551,39.05,39.5,79.00,B,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121553,25.85,AB,0.00,I,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
20121557,36.55,30,67.00,C,NOV_DEC,2012,NORMAL,MCSE105,4.0,ADVANCED SOFT COMPUTING,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
