Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120028,13.80,11,25.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120090,17.60,17.5,36.00,E,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120091,30.20,22,53.00,C,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120102,23.70,13.5,38.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120105,17.90,20.5,39.00,E,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120149,16.50,9.5,26.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120161,17.70,02,20.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120170,17.50,28,46.00,D,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120179,15.70,13,29.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120194,17.90,13.5,32.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120233,6.60,4.5,12.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120241,22.30,19.5,42.00,E,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120337,15.90,12,28.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120348,16.00,08,24.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120351,12.00,AB,0.00,I,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120383,17.80,18.5,37.00,E,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120400,4.00,00,4.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120494,22.30,12,35.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120531,27.00,22.5,50.00,D,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120541,18.70,5.5,25.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120571,16.30,04,21.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120582,20.40,10.5,31.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120585,20.60,02,23.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120653,10.70,3.5,15.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120695,21.10,05,27.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201312501,12.90,17.5,31.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201312503,11.20,0.5,12.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120024,26.30,26.5,53.00,C,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120031,17.90,3.5,22.00,F,JAN,2014,MAKE,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
