Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121521,44.50,44,89.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20121524,42.50,42,85.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20121527,48.12,47,96.00,S,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326001,44.00,45,89.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326002,41.75,44,86.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326003,38.00,42,80.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326004,41.25,44,86.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326005,41.75,45,87.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326006,41.62,44,86.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201326007,42.50,44,87.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201226001,41.25,40,82.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201226003,40.75,44,85.00,A,MAY_JUNE,2015,NORMAL,MDC301,33,MAJOR PROJECT,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
