Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110236,48.00,28,76.00,C,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20111110,46.13,21,68.00,D,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20120332,52.69,36,89.00,A,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20110152,48.19,24,73.00,C,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20110304,48.38,25,74.00,C,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20110396,46.69,24,71.00,C,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20120123,49.13,33,83.00,B,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20120462,46.13,21,68.00,D,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
20110358,48.38,25,74.00,C,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
201013020,45.00,15,60.00,E,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
201018008,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,COB207_COA107_NEW__COA207_COB107_OLD_,1.5,ENGINEERING PHYSICS LAB,84.000000,77.000000,70.000000,64.000000,57.000000,50.000000,EXTRA_2013,0,0,0,0,0
