Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201321201,58.76,15,74.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321202,57.94,13,71.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321203,52.78,18,71.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321204,60.84,15,76.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321205,61.91,14.5,77.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321206,53.29,14,68.00,C,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321207,57.98,16,74.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321208,54.36,9,64.00,C,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321210,50.48,14,65.00,C,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321211,54.39,13,68.00,C,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321212,61.46,14,76.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321213,59.14,13,73.00,B,MAY_JUNE,2015,NORMAL,PHY403,4.0,COMPUTATIONAL PHYSICS LAB _PH2461_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
