Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201319003,13.90,10.5,25.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319005,7.50,11,19.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319006,12.80,06,19.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319012,12.20,19.5,32.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319013,7.40,26,34.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319014,14.20,18,33.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319021,8.70,16,25.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319024,7.40,15,23.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319026,10.00,14.5,25.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319027,11.90,AB,0.00,I,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319029,12.90,21.5,35.00,E,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319031,13.50,10.5,24.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319033,10.10,AB,0.00,I,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319037,10.80,13.5,25.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319038,10.90,23,34.00,F,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201319039,16.00,21,37.00,E,JAN,2014,MAKE,BBA102,4.0,COMPUTERS APPLICATIONS IN BUSINESS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
