Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200614021,27.30,36.5,64.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110013,20.75,3.5,25.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120011,20.75,10.5,32.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120348,23.09,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120353,28.96,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120369,19.31,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130004,31.50,05,37.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130015,24.17,23,48.00,D,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130016,35.40,13,49.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130040,40.00,26,66.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130064,27.00,9.5,37.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130101,39.17,24.5,64.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130102,37.78,23.5,62.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130121,38.60,28,67.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130124,31.00,4.5,36.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130160,45.70,31,77.00,A,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130170,31.33,12,44.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130173,31.87,11.5,44.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130181,37.40,10,48.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130194,29.75,7.5,38.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130208,38.70,23.5,63.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130242,38.67,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130265,28.20,0.5,29.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130278,37.92,6.5,45.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130291,36.58,19,56.00,C,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130304,31.80,11,43.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130329,37.73,06,44.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130397,42.60,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130410,36.25,17.5,54.00,C,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130424,34.20,24.5,59.00,C,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130434,42.17,6.5,49.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130436,28.00,17.5,46.00,D,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130449,36.18,23.5,61.00,C,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130457,38.40,09,48.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130473,37.18,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130482,33.08,2.5,36.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130494,29.92,12,42.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130507,27.83,10.5,39.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130509,32.70,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130530,37.17,08,46.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130570,18.08,8.5,27.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130589,29.90,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130590,40.80,12,53.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130594,20.72,30.5,52.00,D,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130606,28.92,14.5,44.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130638,36.50,5.5,42.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130685,27.90,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130690,30.82,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130712,41.80,22.5,65.00,B,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130733,30.90,AB,0.00,I,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130736,33.00,07,40.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130746,36.25,19,56.00,C,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130748,34.80,17.5,53.00,C,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130460,26.00,5.5,32.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130483,23.42,00,24.00,F,JAN,2014,MAKE,COA105_COB205_NEW__COA107_COB207_OLD_,3.0,ENGINEERING GRAPHICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
