Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130004,20.65,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130017,19.20,28.5,48.00,D,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130070,16.30,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130191,10.10,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130293,14.65,10.5,26.00,F,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130335,10.70,24,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130407,14.55,00,15.00,F,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130417,20.85,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130433,15.50,20.75,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130439,18.20,02,21.00,F,JULY_AUGUST_AUG,2015,EXTRA,CH1108,4.0,ENGINEERING CHEMISTRY _REF CODE:COA203__13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
