Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120729,14.65,06,21.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20130177,16.75,17.5,35.00,E,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20130575,10.70,11,22.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140106,21.00,13.5,35.00,E,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140129,17.80,17.50,36.00,E,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140234,10.85,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140501,9.20,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140655,9.65,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140736,23.35,00.50,24.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
20140198,13.80,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500037,18.05,03.50,22.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500133,15.95,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500136,12.90,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500208,16.65,10,27.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500249,18.05,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500281,13.15,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500294,17.50,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500389,15.80,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500412,20.48,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500449,12.40,07.75,21.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201500704,15.95,02,18.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600073,19.50,20.25,40.00,E,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600128,18.30,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600162,15.00,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600169,16.35,14.5,31.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600179,17.05,12,30.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600302,21.35,06.5,28.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600492,19.30,11,31.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600620,19.50,11.5,31.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600082,9.20,03.5,13.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201600630,21.40,03,25.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201700253,18.20,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201700268,22.15,AB,0.00,I,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
201700472,17.75,10.5,29.00,F,JAN,2019,SUPP,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17 18_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JAN-2019,0,0,0,0,0
