Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200815047,35.20,34,70.00,B,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911041,39.90,37,77.00,A,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911105,26.20,35,62.00,C,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200912098,30.20,19,50.00,D,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200915015,35.20,27.5,63.00,C,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110327,19.70,AB,0.00,I,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110093,22.40,26.5,49.00,D,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110308,13.20,29,43.00,E,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110509,13.70,AB,0.00,I,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110522,25.20,22,48.00,D,EXTRA,2013,EXTRA,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
