Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201021205,39.00,12,51.00,D,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121201,47.00,32.5,80.00,A,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121202,42.00,21,63.00,C,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121203,49.00,28,77.00,B,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121204,44.00,27,71.00,B,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121205,56.00,37,93.00,S,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121206,48.00,33,81.00,A,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121207,40.00,27,67.00,C,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121208,41.00,17,58.00,D,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121209,45.00,31,76.00,B,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121210,54.00,36,90.00,S,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121211,53.00,37,90.00,S,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121212,47.00,35.5,83.00,A,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121213,49.00,28,77.00,B,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121214,52.00,30,82.00,A,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121215,38.00,27,65.00,C,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121216,45.00,32,77.00,B,APRIL_MAY_APR,2013,NORMAL,PHY403,3.0,COMPUTATIONAL PHYSICS LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
