Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200711042,31.20,29,61.00,D,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
201011052,31.20,29,61.00,D,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
200911005,35.60,29,65.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
201011018,41.60,25,67.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
201011043,41.60,25,67.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
201111509,34.00,26,60.00,D,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110002,42.40,29,72.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110005,46.80,30,77.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110014,46.80,26,73.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110015,44.40,25,70.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110021,48.40,31,80.00,A,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110024,44.00,30,74.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110052,46.80,27,74.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110055,41.60,23,65.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110058,45.20,24,70.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110066,51.20,39,91.00,S,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110068,44.00,32,76.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110069,44.00,25,69.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110070,45.60,32,78.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110071,40.40,27,68.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110072,44.40,27,72.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110074,41.20,26,68.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110075,44.80,28,73.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110076,48.00,27,75.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110077,50.00,37,87.00,S,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110079,44.00,26,70.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110088,46.40,38,85.00,A,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110092,47.20,28,76.00,B,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110098,43.60,27,71.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
20110108,39.20,28,68.00,C,MAY_JUNE,2014,NORMAL,CSE608,1.5,UNIX_LINUX INTERNALS LABORATORY,87.000000,80.000000,72.000000,65.000000,57.000000,50.000000,MAY_JUNE_2014,0,1,0,0,135
