Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20122402,31.40,30.5,62.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122403,26.20,23.5,50.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122404,29.55,27.5,58.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122405,31.80,31,63.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122406,15.00,11,26.00,F,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122407,0.00,DT,0.00,DT,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122408,28.45,26.5,55.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122409,37.15,40.5,78.00,A,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122410,31.40,27,59.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122411,24.65,21,46.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122412,29.90,27,57.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122413,27.60,28.5,57.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122414,28.75,24.5,54.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122415,27.10,23,51.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122416,27.00,24,51.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122417,22.30,28,51.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122418,30.25,35.5,66.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122419,30.05,23,54.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122420,36.15,36.5,73.00,A,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122421,22.30,26,49.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122422,25.25,19.5,45.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122423,9.15,8,18.00,F,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122424,26.50,28,55.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122425,17.40,10,28.00,F,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122427,32.90,30.5,64.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122428,33.70,36,70.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122429,40.20,30.5,71.00,A,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122430,19.00,11.5,31.00,F,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122431,36.10,34,71.00,A,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122432,30.10,28,59.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122433,18.65,19.5,39.00,E,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122434,26.60,34.5,62.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122435,19.65,28.5,49.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122436,26.50,27.5,54.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122437,25.45,25.5,51.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122438,30.00,32.5,63.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122439,25.30,38,64.00,B,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122440,20.45,23.5,44.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122441,16.55,13,30.00,F,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122442,20.80,22.5,44.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122443,27.40,23.5,51.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122444,22.50,24,47.00,D,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
20122446,26.65,28.5,56.00,C,NOV_DEC,2012,NORMAL,BBA101,4.0,PRINCIPLES & PRACTICE OF MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,2,2,49
