Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200715005,13.20,AB,0.00,I,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200915021,14.00,22.5,37.00,E,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201015503,17.70,AB,0.00,I,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110100,16.15,24.5,41.00,E,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110118,26.35,5.5,32.00,F,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110288,18.10,4.5,23.00,F,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20121781,21.15,AB,0.00,I,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20121789,18.80,17,36.00,E,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20121791,21.80,21,43.00,E,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20121793,15.10,19.5,35.00,E,JAN_DEC,2012,MAKE,ME302,4.0,BASIC THERMODYNAMICS,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
