Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201015039,18.80,8.5,28.00,F,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
201015006,25.80,20.5,47.00,E,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
201015015,13.60,29.5,44.00,F,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
201115503,30.70,27,58.00,D,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
201115505,0.00,DT,0.00,DT,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
201115506,28.90,34,63.00,C,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110008,32.20,39.5,72.00,B,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110011,37.80,45,83.00,A,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110013,34.80,31.5,67.00,C,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110022,41.70,44.5,87.00,A,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110025,31.80,41.75,74.00,B,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110026,41.70,44.5,87.00,A,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110037,39.80,37,77.00,B,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
20110048,39.00,39.5,79.00,B,MAY-JUNE,2014,NORMAL,ME601,4.0,PRINCIPLES OF MGT. & INDUSTRIAL ENGG.,90.000000,81.000000,72.000000,63.000000,54.000000,45.000000,MAY-JUNE-2014,1,0,2,1,77
