Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201123013,21.80,33.25,56.00,C,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121202,23.40,26,50.00,D,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121203,34.20,37,72.00,A,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121204,28.60,26,55.00,C,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121208,30.90,18.5,50.00,D,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121211,39.50,41,81.00,S,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121216,40.40,44,85.00,S,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121220,41.70,38.5,81.00,S,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121225,34.70,31.5,67.00,B,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121227,40.80,41,82.00,S,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121228,28.10,28,57.00,C,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121229,31.30,25.5,57.00,C,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121230,40.30,38.5,79.00,A,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121232,40.60,37.5,79.00,A,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121234,25.20,28.5,54.00,C,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121235,31.20,31.5,63.00,B,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121238,26.20,22.75,49.00,D,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
20121242,25.80,26.5,53.00,D,MAY_JUNE,2014,NORMAL,MGT,4.0,HUMAN RESOURCE AUDIT & CROSS CULTURAL ASPECT IN HRM _REF.CODE _ MGT410_,80.000000,71.000000,62.000000,54.000000,45.000000,36.000000,MAY_JUNE_2014,0,0,0,1,27
