Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121912,29.70,21,51.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201316013,28.00,19,47.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201316016,31.60,22,54.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201432007,36.40,33.5,70.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516001,36.70,30.5,68.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516003,38.60,26,65.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516004,23.60,19,43.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516005,34.20,25.5,60.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516008,38.90,23.5,63.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516009,34.60,23.5,59.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516011,30.80,15,46.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516012,37.70,44.5,83.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516013,41.40,40,82.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516014,37.90,34,72.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516015,26.00,25,51.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516017,37.20,21,59.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516019,40.00,38.5,79.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516020,31.70,29.5,62.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516024,33.40,31,65.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516025,33.70,29,63.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
201516028,36.00,25.5,62.00,PASS,APRIL-MAY-APR,2018,NORMAL,BA1537,0.0,COMPUTER AND COMMUNICATION SKILL_AUDIT COURSE_ _BA1537_,0,0,0,0,0,0,APRIL-MAY-APR-2018,0,0,0,0,21
