Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110100,35.00,21,56.00,C,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110122,17.80,17.5,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110229,30.50,20,51.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110241,30.30,14,45.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110535,31.30,23,55.00,C,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20111008,29.60,15.5,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20111012,23.70,15.5,40.00,E,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20111104,35.90,19,55.00,C,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121784,30.90,21,52.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121789,25.80,20,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121790,24.40,20.5,45.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121791,21.80,17,39.00,E,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121793,20.50,15,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20132501,40.60,26.5,68.00,B,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201115501,28.20,18,47.00,D,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201115503,21.40,16.5,38.00,E,JULY_AUGUST_AUG,2015,EXTRA,ME301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
