Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201416001,54.54,AB,0.00,I,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416002,55.62,14.5,71.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416003,60.00,13.5,74.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416004,62.09,16,79.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416005,64.66,15,80.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416006,53.45,13,67.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416007,59.70,18,78.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416008,57.70,15,73.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416009,57.38,16,74.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416010,56.10,15,72.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416011,61.23,20,82.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416012,59.89,16,76.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416013,61.39,12,74.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416014,67.43,18.5,86.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416015,58.90,13,72.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416016,66.46,15.5,82.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416017,59.10,16.5,76.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416018,26.07,AB,0.00,I,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416019,61.94,18.5,81.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416020,68.34,15,84.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416021,61.98,18,80.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416022,55.07,17,73.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416023,72.07,17,90.00,S,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416024,62.56,15.5,79.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201416025,53.48,17,71.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432001,71.85,20.5,93.00,S,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432002,68.55,20,89.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432003,60.23,16.5,77.00,B,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432004,61.63,21.5,84.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432005,71.55,20,92.00,S,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432006,65.55,18,84.00,A,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
201432007,48.57,17,66.00,C,NOV_DEC,2014,NORMAL,CA1162_CA3162,1.5,C PROGRAMMING I LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV_DEC_2014,2,0,0,0,31
