Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201023028,19.20,17,37.00,F,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201023007,0.00,DT,0.00,DT,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201023047,22.70,27.75,51.00,D,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123001,42.25,35,78.00,A,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123002,19.10,28.25,48.00,E,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123004,38.25,37.75,76.00,A,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123005,42.20,32.25,75.00,A,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123006,30.50,27.5,58.00,D,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123007,30.45,24.25,55.00,D,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123008,36.45,37.5,74.00,B,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123009,34.25,33.25,68.00,B,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123010,31.30,42,74.00,B,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123011,36.80,32.5,70.00,B,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123014,35.90,39.25,76.00,A,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123015,30.75,31,62.00,C,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123017,43.30,39.25,83.00,S,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123018,37.70,37.75,76.00,A,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123019,28.60,29.25,58.00,D,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123020,37.55,35.5,74.00,B,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
201123021,37.60,38.25,76.00,A,NOV_DEC,2012,NORMAL,MGT_MR_301,4.0,CONSUMER BEHAV. & ADV. & SALES PROMOTION MGT,83.000000,75.000000,67.000000,59.000000,51.000000,43.000000,NOV_DEC_2012,0,0,1,0,53
