Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201421401,27.50,34.5,62.00,C,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421402,44.60,47,92.00,S,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421403,33.40,38,72.00,B,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421404,35.00,46,81.00,A,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421405,30.70,27,58.00,D,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421407,26.80,25,52.00,D,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421408,34.80,43.5,79.00,B,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421409,21.10,18,40.00,E,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421410,23.60,29.5,54.00,D,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421411,26.20,30,57.00,D,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421412,24.40,12,37.00,F,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421413,21.70,37.5,60.00,C,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421415,15.80,24,40.00,E,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421416,20.90,20.5,42.00,E,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421417,26.60,34,61.00,C,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421418,20.40,32,53.00,D,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201421419,31.50,34,66.00,C,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321405,21.30,22.5,44.00,E,MAY_JUNE,2015,NORMAL,MA2202,4.0,DIFFERENTIAL EQUATION,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
