Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120478,15.75,11,27.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130010,9.27,8.5,18.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130137,11.30,24,36.00,E,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130460,9.40,27.5,37.00,E,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130567,16.00,24.5,41.00,E,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130592,12.95,16.5,30.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140004,12.00,12,24.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140114,22.10,13.5,36.00,E,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140131,10.20,19,30.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140206,14.55,17,32.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140440,12.85,32.5,46.00,D,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140450,10.25,15.5,26.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140581,11.05,5,17.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140587,14.00,8.5,23.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140615,7.65,11,19.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140696,13.10,AB,0.00,I,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201512501,18.80,11,30.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201512505,14.55,17,32.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140690,10.80,4.5,16.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140685,11.15,12.5,24.00,F,JULY_AUG,2016,EXTRA,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
