Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120192,16.30,27,44.00,E,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120360,15.90,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120553,25.60,35.5,62.00,C,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140097,13.10,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140114,12.90,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140181,17.10,18,36.00,E,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140259,16.20,19,36.00,E,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140504,15.05,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201412506,17.20,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140159,16.60,3.5,21.00,F,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140252,16.20,13.5,30.00,F,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201500024,18.80,8.5,28.00,F,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201500332,19.10,15,35.00,E,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201612503,23.69,18.5,43.00,E,JUNE_JULY,2017,SUPP,EC1409_EC1503,4.0,ANALOG COMMUNICATION _9 10 11 12 13 14 15_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
