Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201419017,22.40,12.5,35.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201419021,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519001,27.50,29.5,57.00,C,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519002,20.30,26.5,47.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519003,20.10,24,45.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519004,29.90,34,64.00,B,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519005,12.10,22,35.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519006,32.50,39.5,72.00,A,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519007,24.30,25.5,50.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519008,30.60,40,71.00,A,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519009,23.10,18.5,42.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519010,39.40,42.5,82.00,S,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519011,40.70,45.5,87.00,S,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519012,12.80,24.5,38.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519013,30.30,29.5,60.00,C,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519014,20.10,25,46.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519015,8.90,13.5,23.00,F,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519016,16.50,12.5,29.00,F,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519017,37.70,46,84.00,S,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519018,29.30,33.5,63.00,B,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519019,18.80,12,31.00,F,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519020,11.00,2,13.00,F,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519022,22.90,28,51.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519026,20.10,16,37.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519027,21.30,33,55.00,C,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519028,24.00,21,45.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519030,17.40,19,37.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519031,21.80,26.5,49.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519032,24.50,30,55.00,C,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519033,16.50,22,39.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519034,14.20,21,36.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519035,11.10,12,24.00,F,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519036,16.40,22.5,39.00,E,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519037,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519038,28.20,37,66.00,B,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519039,20.50,23.5,44.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519040,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519041,26.20,20,47.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519042,40.00,46.5,87.00,S,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519044,28.80,22,51.00,D,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
201519045,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,BA1636,3.0,TAX PLANNING & TAX MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,4,0,37
