Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201421410,31.00,28,59.00,D,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201421415,33.00,20.5,54.00,D,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521402,38.40,38,77.00,B,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521403,37.10,25,63.00,C,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521405,32.90,29,62.00,C,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521406,31.20,25.5,57.00,D,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521407,26.00,24,50.00,D,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521408,36.90,40,77.00,B,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521412,35.50,29.5,65.00,C,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521413,36.80,30,67.00,C,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201421409,26.30,20.5,47.00,E,MAY_JUNE,2017,NORMAL,MA2433,4.0,PLASMA DYNAMICS _ELECTIVE II_,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
