Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140213,13.35,21,35.00,E,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140736,16.40,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500449,13.65,0.5,15.00,F,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500674,17.10,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600029,14.00,35.5,50.00,D,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600166,17.30,21.5,39.00,E,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600302,14.70,15.5,31.00,F,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600477,17.55,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600700,14.85,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700239,10.90,30,41.00,E,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700399,15.10,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700434,14.95,23.5,39.00,E,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700493,16.00,11,27.00,F,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700518,10.50,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700486,15.35,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20120727,26.70,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600191,39.80,AB,0.00,I,NOV-DEC,2018,BACK,EC1107,3.0,BASIC ELECTRONICS _11 12 13 14 15 16 17__4CR UPTO 16 & 3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
